well,tissue,cq,cq_mean,cq_stdev,sq,sq_mean,sq_stdev,logSQ,day,temp,titer,positive,organism_num,plate,name
B10,Abd,38.83,35.61,4.56,36.4,894,1213,1.561101384,3,27C,0,0,2,1,27C3Abd2
H10,Abd,35.13,35.24,0.23,336,317,42.5,2.526339277,3,27C,0,1,8,1,27C3Abd8
A10,Abd,36.13,35,1.12,30.5,82.2,59.7,1.484299839,3,27C,0,1,17,3,27C3Abd17
B10,Abd,35.19,35.75,0.68,59.1,42.7,18,1.771587481,3,27C,0,1,18,3,27C3Abd18
C10,Abd,33.06,33.22,0.34,266,242,54.5,2.424881637,3,27C,0,1,19,3,27C3Abd19
D10,Abd,33.08,32.81,0.25,263,320,53.9,2.419955748,3,27C,0,1,20,3,27C3Abd20
C4,LW,36.97,36.94,0.73,111,121,52.6,2.045322979,3,27C,0,1,3,1,27C3LW3
A4,LW,33.05,33.1,0.51,267,269,93.3,2.426511261,3,27C,0,1,17,3,27C3LW17
B4,LW,33.94,33.64,0.26,143,178,30.8,2.155336037,3,27C,0,1,18,3,27C3LW18
C4,LW,33.64,33.82,0.16,176,156,17.7,2.245512668,3,27C,0,1,19,3,27C3LW19
D4,LW,33.73,33.61,0.35,166,184,47.4,2.220108088,3,27C,0,1,20,3,27C3LW20
A7,Sal,32.81,33.14,0.28,317,256,53.3,2.501059262,3,27C,0,1,17,3,27C3Sal17
B7,Sal,33.79,33.58,0.2,159,186,25.4,2.201397124,3,27C,0,1,18,3,27C3Sal18
C7,Sal,30.47,32.58,1.86,1657,673,853,3.219322508,3,27C,0,1,19,3,27C3Sal19
D7,Sal,33.37,33.09,0.25,214,264,43.8,2.330413773,3,27C,0,1,20,3,27C3Sal20
B7,Sal,31.88,31.73,0.13,802,888,75.9,2.904174368,3,30C,0,1,2,1,30C3Sal2
E7,Sal,35.66,36.23,0.59,92.4,67.1,24.5,1.965671971,3,30C,0,1,13,2,30C3Sal13
A10,Abd,36.55,36.76,0.23,13.1,11.3,1.88,1.117271296,3,33C,0,1,9,2,33C3Abd9
B10,Abd,37.6,36.9,0.67,6.05,11,5,0.781755375,3,33C,0,0,10,2,33C3Abd10
C10,Abd,36.18,37.04,1.71,17.2,13.3,9.85,1.235528447,3,33C,0,1,11,2,33C3Abd11
F10,Abd,36.98,36.91,0.09,9.56,10.1,0.655,0.980457892,3,33C,0,1,14,2,33C3Abd14
A10,Abd,35.98,36.24,0.23,24.4,20.5,3.58,1.387389826,3,33C,0,1,17,3,33C3Abd17
B10,Abd,37.61,36.45,1,7.48,20.1,11,0.873901598,3,33C,0,0,18,3,33C3Abd18
C10,Abd,36.45,36.25,0.42,17.4,20.8,6.82,1.240549248,3,33C,0,1,19,3,33C3Abd19
D10,Abd,35.12,35.62,0.49,45.9,33.1,11.8,1.661812686,3,33C,0,1,20,3,33C3Abd20
A4,LW,36.56,37.08,0.67,13,9.59,4.05,1.113943352,3,33C,0,1,9,2,33C3LW9
A4,LW,35.48,36.1,0.6,35.3,23.8,10.4,1.547774705,3,33C,0,1,17,3,33C3LW17
B4,LW,36.25,36.46,0.22,20,17.4,2.74,1.301029996,3,33C,0,1,18,3,33C3LW18
C4,LW,36.07,36.07,0.28,22.9,23.3,4.67,1.359835482,3,33C,0,1,19,3,33C3LW19
D4,LW,36.79,35.94,0.76,13.5,27.7,12.9,1.130333768,3,33C,0,1,20,3,33C3LW20
B7,Sal,34.09,37.03,2.75,79.7,29.3,43.7,1.901458321,3,33C,0,1,10,2,33C3Sal10
A7,Sal,36.79,36.5,0.75,13.6,18.6,10.8,1.133538908,3,33C,0,1,17,3,33C3Sal17
B7,Sal,35.89,36.07,0.4,26.2,23.5,6.21,1.418301291,3,33C,0,1,18,3,33C3Sal18
C7,Sal,35.58,35.82,0.21,32.8,27.6,4.5,1.515873844,3,33C,0,1,19,3,33C3Sal19
D7,Sal,35.9,36.31,0.4,25.9,19.7,5.75,1.413299764,3,33C,0,1,20,3,33C3Sal20
C10,Abd,36.61,36.92,0.28,90.2,74.8,13.8,1.873901598,7,27C,0,1,3,1,27C7Abd3
D10,Abd,35.87,36.24,0.32,145,116,24.8,2.064457989,7,27C,0,1,4,1,27C7Abd4
E10,Abd,34.09,35.42,1.17,454,236,189,2.372912003,7,27C,0,1,5,1,27C7Abd5
F10,Abd,35.15,36.02,1.03,230,150,83.5,2.176091259,7,27C,0,1,6,1,27C7Abd6
G10,Abd,35.46,35.69,0.25,189,164,25.8,2.214843848,7,27C,0,1,7,1,27C7Abd7
C10,Abd,36.61,36.92,0.28,90.2,74.8,13.8,1.873901598,7,27C,0,1,11,2,27C7Abd11
D10,Abd,35.87,36.24,0.32,145,116,24.8,2.064457989,7,27C,0,1,12,2,27C7Abd12
E10,Abd,34.09,35.42,1.17,454,236,189,2.372912003,7,27C,0,1,13,2,27C7Abd13
F10,Abd,35.15,36.02,1.03,230,150,83.5,2.176091259,7,27C,0,1,14,2,27C7Abd14
G10,Abd,35.46,35.69,0.25,189,164,25.8,2.214843848,7,27C,0,1,15,2,27C7Abd15
C10,Abd,36.61,36.92,0.28,90.2,74.8,13.8,1.873901598,7,27C,0,1,19,3,27C7Abd19
D10,Abd,35.87,36.24,0.32,145,116,24.8,2.064457989,7,27C,0,1,20,3,27C7Abd20
A4,LW,35.91,36.25,0.47,141,117,32.4,2.068185862,7,27C,0,1,1,1,27C7LW1
B4,LW,36.1,36.05,0.21,125,130,17.4,2.113943352,7,27C,0,1,2,1,27C7LW2
C4,LW,36.96,36.41,0.48,72,105,29.4,2.021189299,7,27C,0,1,3,1,27C7LW3
D4,LW,35.92,36.18,0.63,140,125,44.2,2.096910013,7,27C,0,1,4,1,27C7LW4
E4,LW,35.46,35.7,0.26,189,163,26.5,2.212187604,7,27C,0,1,5,1,27C7LW5
F4,LW,36.85,36.42,0.62,77,108,46,2.033423755,7,27C,0,1,6,1,27C7LW6
H4,LW,36.36,36.59,0.52,106,94.3,28.2,1.974511693,7,27C,0,1,8,1,27C7LW8
A4,LW,35.91,36.25,0.47,141,117,32.4,2.068185862,7,27C,0,1,9,2,27C7LW9
B4,LW,36.1,36.05,0.21,125,130,17.4,2.113943352,7,27C,0,1,10,2,27C7LW10
C4,LW,36.96,36.41,0.48,72,105,29.4,2.021189299,7,27C,0,1,11,2,27C7LW11
D4,LW,35.92,36.18,0.63,140,125,44.2,2.096910013,7,27C,0,1,12,2,27C7LW12
E4,LW,35.46,35.7,0.26,189,163,26.5,2.212187604,7,27C,0,1,13,2,27C7LW13
F4,LW,36.85,36.42,0.62,77,108,46,2.033423755,7,27C,0,1,14,2,27C7LW14
H7,LW,35.46,36.34,0.93,189,120,66,2.079181246,7,27C,0,1,16,2,27C7LW16
A4,LW,35.91,36.25,0.47,141,117,32.4,2.068185862,7,27C,0,1,17,3,27C7LW17
B4,LW,36.1,36.05,0.21,125,130,17.4,2.113943352,7,27C,0,1,18,3,27C7LW18
C4,LW,36.96,36.41,0.48,72,105,29.4,2.021189299,7,27C,0,1,19,3,27C7LW19
D4,LW,35.92,36.18,0.63,140,125,44.2,2.096910013,7,27C,0,1,20,3,27C7LW20
E7,Sal,35.76,36.39,0.88,155,114,52.9,2.056904851,7,27C,0,1,5,1,27C7Sal5
F7,Sal,35.23,35.96,0.63,218,145,63.6,2.161368002,7,27C,0,1,6,1,27C7Sal6
G7,Sal,36.36,35.71,0.62,106,169,63.9,2.227886705,7,27C,0,1,7,1,27C7Sal7
H7,Sal,35.46,36.34,0.93,189,120,66,2.079181246,7,27C,0,1,8,1,27C7Sal8
E7,Sal,35.76,36.39,0.88,155,114,52.9,2.056904851,7,27C,0,1,13,2,27C7Sal13
F7,Sal,35.23,35.96,0.63,218,145,63.6,2.161368002,7,27C,0,1,14,2,27C7Sal14
G7,Sal,36.36,35.71,0.62,106,169,63.9,2.227886705,7,27C,0,1,15,2,27C7Sal15
H4,Sal,36.36,36.59,0.52,106,94.3,28.2,1.974511693,7,27C,0,1,16,2,27C7Sal16
C10,Abd,36.61,36.92,0.28,90.2,74.8,13.8,1.873901598,7,30C,0,1,3,1,30C7Abd3
D10,Abd,35.87,36.24,0.32,145,116,24.8,2.064457989,7,30C,0,1,4,1,30C7Abd4
E10,Abd,34.09,35.42,1.17,454,236,189,2.372912003,7,30C,0,1,5,1,30C7Abd5
F10,Abd,35.15,36.02,1.03,230,150,83.5,2.176091259,7,30C,0,1,6,1,30C7Abd6
G10,Abd,35.46,35.69,0.25,189,164,25.8,2.214843848,7,30C,0,1,7,1,30C7Abd7
A10,Abd,32.87,32.85,0.11,497,506,37.6,2.704150517,7,30C,0,1,9,2,30C7Abd9
B10,Abd,30.94,26.63,7.32,1809,3050000,5270000,6.484299839,7,30C,0,1,10,2,30C7Abd10
C10,Abd,32.07,32.26,0.28,848,757,136,2.87909588,7,30C,0,1,11,2,30C7Abd11
D10,Abd,32.99,32.92,0.11,457,482,37.6,2.683047038,7,30C,0,1,12,2,30C7Abd12
E11,Abd,35.45,36.19,0.97,88.7,60.8,32,1.783903579,7,30C,0,1,13,2,30C7Abd13
F10,Abd,36.44,36.38,0.71,45.7,51.1,24.2,1.7084209,7,30C,0,1,14,2,30C7Abd14
G10,Abd,36.36,36.11,0.31,48.1,57.7,12.3,1.761175813,7,30C,0,1,15,2,30C7Abd15
A10,Abd,33.44,33.82,0.35,596,474,110,2.675778342,7,30C,0,1,17,3,30C7Abd17
B10,Abd,35.85,36.42,0.67,126,92,36,1.963787827,7,30C,0,1,18,3,30C7Abd18
C10,Abd,35.59,35.86,0.26,149,126,21.1,2.100370545,7,30C,0,1,19,3,30C7Abd19
D10,Abd,36.26,36.87,1.32,96.3,78.9,48.2,1.897077003,7,30C,0,1,20,3,30C7Abd20
A4,LW,35.91,36.25,0.47,141,117,32.4,2.068185862,7,30C,0,1,1,1,30C7LW1
B4,LW,36.1,36.05,0.21,125,130,17.4,2.113943352,7,30C,0,1,2,1,30C7LW2
C4,LW,36.96,36.41,0.48,72,105,29.4,2.021189299,7,30C,0,1,3,1,30C7LW3
