tissue,cq,cq_mean,cq_std,sq,sq_std,logSQ,sqmean,day,temp,titer,positive,organism_num,plate
Abd,31.50624323,31.67295941,0.481027228,749.5176224,185.8083813,2.874781848,696.2673738,3,27C,e7,1,1,1
LW,31.99050547,32.0481727,0.151599615,560.3747532,48.25871627,2.748478561,542.7744632,3,27C,e7,0,1,1
Sal,34.90035945,35.33744266,0.460286533,97.62081127,20.67778702,1.989542413,76.98322564,3,27C,e7,0,1,1
Abd,34.38426505,34.90572346,0.45639833,133.0907987,28.95344343,2.124148031,99.87615398,3,27C,e7,0,2,1
LW,33.08389947,33.24743726,0.444551113,290.6056377,66.71284862,2.463304035,269.4497158,3,27C,e7,0,2,1
Sal,34.8954696,35.19609936,0.270018957,97.90790631,13.75121259,1.990817764,82.468661,3,27C,e7,0,2,1
Abd,32.79374093,32.71596833,0.1181643,345.9250337,26.25484278,2.538981992,363.0819551,3,27C,e7,0,3,1
LW,31.00004892,30.6109415,0.340258856,1015.79335,249.8947055,3.006805365,1300.467491,3,27C,e7,1,3,1
Sal,35.82020407,35.34906086,1.027351458,56.18654435,57.18436593,1.749632322,85.41786092,3,27C,e7,0,3,1
Abd,32.73613805,33.01922818,0.27744992,358.1011691,50.89422522,2.554005739,304.9264757,3,27C,e7,0,4,1
LW,35.08613474,35.0639054,0.200772012,87.31508199,10.80688096,1.941089266,88.9207076,3,27C,e7,0,4,1
Sal,34.7702853,34.47028194,0.308989886,105.5523282,23.80352363,2.023467817,127.8526065,3,27C,e7,0,4,1
Abd,33.19160213,33.2465533,0.269837187,272.4039936,41.91608466,2.43521347,265.836679,3,27C,e7,0,5,1
LW,34.32338942,33.67586108,0.565019482,138.0464884,64.07189705,2.140025364,211.0735256,3,27C,e7,0,5,1
Sal,35.09578012,35.14081337,0.941479525,86.810768,49.98526486,1.938573598,93.61600337,3,27C,e7,0,5,1
Abd,32.53775187,32.86634812,0.554432274,403.411251,101.5676531,2.605748006,342.7265503,3,27C,e7,0,6,1
LW,32.99225943,33.69874621,0.612613132,307.0472518,83.50180498,2.487205215,210.6903873,3,27C,e7,0,6,1
Sal,35.1557975,35.34405375,0.219981195,83.73752346,9.6887177,1.922920112,75.21504997,3,27C,e7,0,6,1
Abd,33.37549232,33.56931704,0.193107713,243.9225699,25.26655268,2.387251987,218.0946764,3,27C,e7,0,7,1
LW,35.5970836,34.80989161,0.690131618,64.24298099,39.35429637,1.807825685,108.632085,3,27C,e7,0,7,1
Sal,34.68999339,35.1988955,0.524584207,110.7667016,25.88727161,2.044409224,84.29542576,3,27C,e7,0,7,1
Abd,31.76654851,31.82200038,0.175032663,641.0473269,63.8444952,2.806890094,622.3025201,3,27C,e7,0,8,1
LW,33.5470156,34.13218322,0.730232903,220.0472724,63.79507383,2.34251599,164.2967215,3,27C,e7,0,8,1
Sal,34.30681382,35.10046778,0.702388519,139.4275334,41.3959074,2.144348544,92.12139144,3,27C,e7,0,8,1
Abd,38.96846711,36.59716838,2.156962782,67.74865098,233.4809013,1.830900652,293.9150068,3,27C,e7,0,9,2
LW,35.38406821,35.96479012,0.518479626,391.8815139,79.8603375,2.593154777,301.4897606,3,27C,e7,0,9,2
Sal,44.34903269,40.98785401,4.753424481,4.860442373,88.97539806,0.686675798,45.1836998,3,27C,e7,0,9,2
Abd,35.62418746,36.28741338,0.895394434,348.4105488,101.7553004,2.542091296,266.9903019,3,27C,e7,0,10,2
LW,36.28899733,36.37812245,0.126041964,251.6017151,14.87005235,2.400713597,160.7246669,3,27C,e7,0,10,2
Sal,0,0,0,0,0,0,0,3,27C,e7,0,10,2
Abd,34.31161111,34.14886066,0.157060358,662.5555011,55.00613312,2.821222264,718.9288135,3,27C,e7,0,11,2
LW,37.39607039,37.39607039,0,146.3136079,0,2.16528472,48.77120265,3,27C,e7,0,11,2
Sal,0,0,0,0,0,0,0,3,27C,e7,0,11,2
Abd,34.7944022,36.25032392,1.384398317,523.0611554,200.8129624,2.718552469,298.758067,3,27C,e7,0,12,2
LW,35.41509003,35.82446196,0.718822962,385.9737001,102.0032808,2.586557713,328.1519108,3,27C,e7,0,12,2
Sal,37.69213888,37.69213888,0,126.5677728,0,2.102323138,42.18925759,3,27C,e7,0,12,2
Abd,35.30166189,35.05648104,0.756157376,408.0178942,188.6452456,2.61067921,482.4728913,3,27C,e7,0,13,2
LW,37.49218459,37.76337502,0.383521193,139.5870684,23.02174698,2.144845186,82.20548999,3,27C,e7,0,13,2
Sal,0,0,0,0,0,0,0,3,27C,e7,0,13,2
Abd,36.97654111,37.77026616,1.550459066,179.6806589,80.25865272,2.254501332,142.8522331,3,27C,e7,0,14,2
LW,36.41209358,36.47701213,0.364012827,236.884198,40.21504806,2.374536091,231.8716072,3,27C,e7,0,14,2
Sal,0,0,0,0,0,0,32.88851797,3,27C,e7,0,14,2
Abd,36.97462363,35.87505753,1.020742774,179.8494445,151.5446917,2.254909101,333.2025964,3,27C,e7,0,15,2
LW,37.63483996,36.30829638,1.14896521,130.1692071,124.0059036,2.114508259,273.3147141,3,27C,e7,0,15,2
Sal,0,0,0,0,0,0,155.939341,3,27C,e7,0,15,2
Abd,35.69862138,36.06894058,0.32781038,335.940422,46.88623612,2.526262263,282.6997344,3,27C,e7,0,16,2
LW,36.88607414,36.46349776,1.144859512,187.8191772,155.0001533,2.273739934,258.0555556,3,27C,e7,0,16,2
Sal,37.26042646,37.47126384,0.201011609,156.3617784,14.0161553,2.194130601,141.4825156,3,27C,e7,0,16,2
Abd,35.05792554,35.89931887,0.854631741,67.80724491,21.51288147,1.831276099,45.01351828,3,27C,e7,0,17,3
LW,33.53020751,35.10066137,1.426731405,165.0891491,71.17532409,2.217718529,83.82328147,3,27C,e7,0,17,3
Sal,32.67898191,34.8304591,1.868171425,271.043797,132.5670633,2.433039473,118.0152331,3,27C,e7,0,17,3
Abd,35.96730005,28.68480173,11.05897143,39.92511307,2653370.459,1.601246155,1532002.389,3,27C,e7,0,18,3
LW,34.32234417,34.42373826,0.135238916,104.0745088,7.58632739,2.01734437,98.30655612,3,27C,e7,0,18,3
Sal,24.49689326,23.16578869,13.87669309,31822.31329,185030998.3,4.502731747,106843623.6,3,27C,e7,0,18,3
Abd,29.60681531,33.29589417,3.292943229,1622.394203,895.8175098,3.210156386,588.6177101,3,27C,e7,1,19,3
LW,27.4905496,31.79401048,3.923547695,5565.117255,3119.901459,3.745474319,1964.441079,3,27C,e7,1,19,3
Sal,32.81865378,34.26041208,1.254376222,249.8670046,103.3443825,2.39770891,130.6732614,3,27C,e7,0,19,3
Abd,32.20427029,34.20802428,1.830058391,357.3713125,169.7791829,2.553119687,162.892922,3,27C,e7,0,20,3
LW,36.39950333,28.79490096,13.08954629,31.03977724,10005115.26,1.491918596,5776487.907,3,27C,e7,0,20,3
Sal,24.56484938,32.28695541,6.693885606,30587.35838,17638.57318,4.485541972,10220.08966,3,27C,e7,1,20,3
Abd,0,0,0,0,0,0,0,7,27C,e7,0,1,1
LW,0,0,0,0,0,0,725.1719665,7,27C,e7,0,1,1
Sal,0,0,0,0,0,0,0,7,27C,e7,0,1,1
Abd,0,0,0,0,0,0,0,7,27C,e7,0,2,1
LW,0,0,0,0,0,0,0,7,27C,e7,0,2,1
Sal,0,0,0,0,0,0,0,7,27C,e7,0,2,1
Abd,32.9724729,32.96933058,0.273187794,102.503403,18.41980217,2.010738284,103.8007046,7,27C,e7,0,3,1
LW,0,0,0,0,0,0,0,7,27C,e7,0,3,1
Sal,0,0,0,0,0,0,0,7,27C,e7,0,3,1
Abd,0,0,0,0,0,0,5.588684827,7,27C,e7,0,4,1
LW,0,0,0,0,0,0,0,7,27C,e7,0,4,1
Sal,0,0,0,0,0,0,0,7,27C,e7,0,4,1
