tissue,cq,cq_mean,cq_std,sq,sqmean,sq_std,logSQ,positive,organism_num,day,temp,titer,plate
Abd,0,38.82,0.77,0,7.75,3.77,0,0,1,3,27C,e7,1
LW,37.63,38.43,0.88,15.9,10.4,5.39,1.201397124,0,1,3,27C,e7,1
Sal,0,0,0,0,0,0,0,0,1,3,27C,e7,1
Abd,0,0,0,0,0,0,0,0,2,3,27C,e7,1
LW,0,0,0,0,0,0,0,0,2,3,27C,e7,1
Sal,0,0,0,0,0,0,0,0,2,3,27C,e7,1
Abd,0,0,0,0,0,0,0,0,3,3,27C,e7,1
LW,0,0,0,0,0,0,0,0,3,3,27C,e7,1
Sal,0,0,0,0,0,0,0,0,3,3,27C,e7,1
Abd,0,0,0,0,0,0,0,0,4,3,27C,e7,1
LW,39.03,39.14,0.15,6.34,5.9,0.567,0.802089258,0,4,3,27C,e7,1
Sal,0,0,0,0,0,0,0,0,4,3,27C,e7,1
Abd,0,39.02,0.6,0,6.61,2.52,0,0,5,3,27C,e7,1
LW,0,39.17,0.17,0,5.8,0.642,0,0,5,3,27C,e7,1
Sal,0,38.91,0.09,0,6.87,0.41,0,0,5,3,27C,e7,1
Abd,0,0,0,0,0,0,0,0,6,3,27C,e7,1
LW,0,0,0,0,0,0,0,0,6,3,27C,e7,1
Sal,0,0,0,0,0,0,0,0,6,3,27C,e7,1
Abd,0,0,0,0,0,0,0,0,7,3,27C,e7,1
LW,0,0,0,0,0,0,0,0,7,3,27C,e7,1
Sal,0,0,0,0,0,0,0,0,7,3,27C,e7,1
Abd,0,37.89,0.91,0,14.6,8.16,0,0,8,3,27C,e7,1
LW,37.03,38.55,1.32,23.5,11.4,10.5,1.371067862,0,8,3,27C,e7,1
Sal,0,0,0,0,0,0,0,0,8,3,27C,e7,1
Abd,0,38.33,1.27,0,13.8,10.3,0,0,9,3,27C,e7,2
LW,35.68,36.16,0.51,66.5,50.5,16.1,1.822821645,1,9,3,27C,e7,2
Sal,0,0,0,0,0,0,0,0,9,3,27C,e7,2
Abd,0,0,0,0,0,0,0,0,10,3,27C,e7,2
LW,0,0,0,0,0,0,0,0,10,3,27C,e7,2
Sal,0,0,0,0,0,0,0,0,10,3,27C,e7,2
Abd,0,39.8,1.03,0,4.97,3.12,0,0,11,3,27C,e7,2
LW,0,0,0,0,0,0,0,0,11,3,27C,e7,2
Sal,0,0,0,0,0,0,0,0,11,3,27C,e7,2
Abd,0,39.2,0.11,0,6.6,0.495,0,0,12,3,27C,e7,2
LW,38.05,38.84,0.69,14.1,9.02,4.41,1.149219113,0,12,3,27C,e7,2
Sal,0,0,0,0,0,0,0,0,12,3,27C,e7,2
Abd,0,38.63,0.73,0,10.2,4.67,0,0,13,3,27C,e7,2
LW,0,0,0,0,0,0,0,0,13,3,27C,e7,2
Sal,0,0,0,0,0,0,0,0,13,3,27C,e7,2
Abd,0,38.73,0.26,0,9.05,1.56,0,0,14,3,27C,e7,2
LW,0,38.14,0.64,0,13.8,5.67,0,0,14,3,27C,e7,2
Sal,0,0,0,0,0,0,0,0,14,3,27C,e7,2
Abd,35.32,35.69,0.32,84.6,67.3,15.1,1.927370363,1,15,3,27C,e7,2
LW,0,0,0,0,0,0,0,0,15,3,27C,e7,2
Sal,0,0,0,0,0,0,0,0,15,3,27C,e7,2
Abd,0,0,0,0,0,0,0,0,16,3,27C,e7,2
LW,26.54,32.87,8.95,26921,13464,19032,4.430091188,1,16,3,27C,e7,2
Sal,37,37.41,0.61,28.1,22.4,7.87,1.44870632,0,16,3,27C,e7,2
Abd,0,38.42,1.19,0,18.8,13.1,0,0,1,3,30C,e7,1
LW,36.38,36.88,0.51,60.6,45.6,14.6,1.782472624,1,1,3,30C,e7,1
Sal,0,39.33,0.15,0,9.12,0.904,0,0,1,3,30C,e7,1
Abd,38.21,38.64,0.37,18.7,14.5,3.67,1.271841607,0,2,3,30C,e7,1
LW,36.54,37.08,0.76,54.8,41.1,19.4,1.738780558,1,2,3,30C,e7,1
Sal,0,39.05,0.36,0,11,2.54,0,0,2,3,30C,e7,1
Abd,36.52,37.09,0.53,55.7,40,14.1,1.745855195,1,3,3,30C,e7,1
LW,37.44,37.94,0.81,30.7,24.1,10.3,1.487138375,0,3,3,30C,e7,1
Sal,0,39.38,0.27,0,8.91,1.56,0,0,3,3,30C,e7,1
Abd,36.37,36.76,0.59,61,49.8,16.5,1.785329835,1,4,3,30C,e7,1
LW,0,37.98,0.21,0,21.9,3,0,0,4,3,30C,e7,1
Sal,0,38.7,0.77,0,14.5,6.95,0,0,4,3,30C,e7,1
Abd,0,0,0,0,0,0,0,0,5,3,30C,e7,1
LW,37.6,38.6,0.87,27.7,16.2,9.88,1.442479769,0,5,3,30C,e7,1
Sal,0,0,0,0,0,0,0,0,5,3,30C,e7,1
Abd,36.42,36.74,0.32,59.3,49.1,10,1.773054693,1,6,3,30C,e7,1
LW,38.39,38.87,0.44,16.7,12.6,3.67,1.222716471,0,6,3,30C,e7,1
Sal,39.17,39.33,0.14,10.1,9.13,0.862,1.004321374,0,6,3,30C,e7,1
Abd,39.08,39.21,0.15,10.7,9.87,0.967,1.029383778,0,7,3,30C,e7,1
LW,0,39.75,1.37,0,8.33,6.52,0,0,7,3,30C,e7,1
Sal,0,0,0,0,0,0,0,0,7,3,30C,e7,1
Abd,38.62,38.75,0.2,14.4,13.3,1.63,1.158362492,0,8,3,30C,e7,1
LW,0,38.89,0.3,0,12.2,2.37,0,0,8,3,30C,e7,1
Sal,0,0,0,0,0,0,0,0,8,3,30C,e7,1
Abd,0,0,0,0,0,0,0,0,9,3,30C,e7,2
